"fp_01";3;"Ganske viktig"
"fp_01";4;"Veldig viktig"
"fp_02";1;"Ikke viktig"
"fp_02";2;"Litt viktig"
"fp_02";3;"Ganske viktig"
"fp_02";4;"Veldig viktig"
"fp_03";1;"Ikke viktig"
"fp_03";2;"Litt viktig"
"fp_03";3;"Ganske viktig"
"fp_03";4;"Veldig viktig"
"fp_04";1;"Ikke viktig"
"fp_04";2;"Litt viktig"
"fp_04";3;"Ganske viktig"
"fp_04";4;"Veldig viktig"
"fp_05";1;"Ikke viktig"
"fp_05";2;"Litt viktig"
"fp_05";3;"Ganske viktig"
"fp_05";4;"Veldig viktig"
"fp_06";1;"Ikke viktig"
"fp_06";2;"Litt viktig"
"fp_06";3;"Ganske viktig"
"fp_06";4;"Veldig viktig"
"fp_07";1;"Ikke viktig"
"fp_07";2;"Litt viktig"
"fp_07";3;"Ganske viktig"
"fp_07";4;"Veldig viktig"
"fp_08";1;"Ikke viktig"
"fp_08";2;"Litt viktig"
"fp_08";3;"Ganske viktig"
"fp_08";4;"Veldig viktig"
"fp_09";1;"Ikke viktig"
"fp_09";2;"Litt viktig"
"fp_09";3;"Ganske viktig"
"fp_09";4;"Veldig viktig"
"fp_10";1;"Ikke viktig"
"fp_10";2;"Litt viktig"
"fp_10";3;"Ganske viktig"
"fp_10";4;"Veldig viktig"
"fp_11";1;"Ikke viktig"
"fp_11";2;"Litt viktig"
"fp_11";3;"Ganske viktig"
"fp_11";4;"Veldig viktig"
"fp_12";1;"Ikke viktig"
"fp_12";2;"Litt viktig"
"fp_12";3;"Ganske viktig"
"fp_12";4;"Veldig viktig"
"fp_13";1;"Ikke viktig"
"fp_13";2;"Litt viktig"
"fp_13";3;"Ganske viktig"
"fp_13";4;"Veldig viktig"
"fp_14";1;"Ikke viktig"
"fp_14";2;"Litt viktig"
"fp_14";3;"Ganske viktig"
"fp_14";4;"Veldig viktig"
"fp_15";1;"Ikke viktig"
"fp_15";2;"Litt viktig"
"fp_15";3;"Ganske viktig"
"fp_15";4;"Veldig viktig"
"fp_16";1;"Ikke viktig"
"fp_16";2;"Litt viktig"
"fp_16";3;"Ganske viktig"
"fp_16";4;"Veldig viktig"
"fp_17";1;"Ikke viktig"
"fp_17";2;"Litt viktig"
"fp_17";3;"Ganske viktig"
"fp_17";4;"Veldig viktig"
"fp_18";1;"Ikke viktig"
"fp_18";2;"Litt viktig"
"fp_18";3;"Ganske viktig"
"fp_18";4;"Veldig viktig"
"fp_19";1;"Ikke viktig"
"fp_19";2;"Litt viktig"
"fp_19";3;"Ganske viktig"
"fp_19";4;"Veldig viktig"
"up_01";1;"Helt uenig"
"up_01";2;"Uenig"
"up_01";3;"Enig"
"up_01";4;"Helt enig"
"up_02";1;"Helt uenig"
"up_02";2;"Uenig"
"up_02";3;"Enig"
"up_02";4;"Helt enig"
"up_03";1;"Helt uenig"
"up_03";2;"Uenig"
"up_03";3;"Enig"
"up_03";4;"Helt enig"
"up_04";1;"Helt uenig"
"up_04";2;"Uenig"
"up_04";3;"Enig"
"up_04";4;"Helt enig"
"up_05";1;"Helt uenig"
"up_05";2;"Uenig"
"up_05";3;"Enig"
"up_05";4;"Helt enig"
"up_06";1;"Helt uenig"
"up_06";2;"Uenig"
"up_06";3;"Enig"
"up_06";4;"Helt enig"
"up_07";1;"Helt uenig"
"up_07";2;"Uenig"
"up_07";3;"Enig"
"up_07";4;"Helt enig"
"up_08";1;"Helt uenig"
"up_08";2;"Uenig"
"up_08";3;"Enig"
"up_08";4;"Helt enig"
"up_09";1;"Helt uenig"
"up_09";2;"Uenig"
"up_09";3;"Enig"
"up_09";4;"Helt enig"
"up_10";1;"Helt uenig"
"up_10";2;"Uenig"
"up_10";3;"Enig"
"up_10";4;"Helt enig"
"up_11";1;"Helt uenig"
"up_11";2;"Uenig"
"up_11";3;"Enig"
"up_11";4;"Helt enig"
"up_12";1;"Helt uenig"
"up_12";2;"Uenig"
"up_12";3;"Enig"
"up_12";4;"Helt enig"
"up_13";1;"Helt uenig"
"up_13";2;"Uenig"
"up_13";3;"Enig"
"up_13";4;"Helt enig"
"up_14";1;"Helt uenig"
"up_14";2;"Uenig"
"up_14";3;"Enig"
"up_14";4;"Helt enig"
"hm_1";1;"Helt uenig"
"hm_1";2;"Uenig"
"hm_1";3;"Enig"
"hm_1";4;"Helt enig"
"hm_2";1;"Helt uenig"
"hm_2";2;"Uenig"
"hm_2";3;"Enig"
"hm_2";4;"Helt enig"
"hm_3";1;"Helt uenig"
"hm_3";2;"Uenig"
"hm_3";3;"Enig"
"hm_3";4;"Helt enig"
"hm_4";1;"Helt uenig"
"hm_4";2;"Uenig"
"hm_4";3;"Enig"
"hm_4";4;"Helt enig"
"hm_5";1;"Helt uenig"
"hm_5";2;"Uenig"
"hm_5";3;"Enig"
"hm_5";4;"Helt enig"
"hm_6";1;"Helt uenig"
"hm_6";2;"Uenig"
"hm_6";3;"Enig"
"hm_6";4;"Helt enig"
"hm_7";1;"Helt uenig"
"hm_7";2;"Uenig"
"hm_7";3;"Enig"
"hm_7";4;"Helt enig"
"hn_1";1;"Helt uenig"
"hn_1";2;"Uenig"
"hn_1";3;"Enig"
"hn_1";4;"Helt enig"
"hn_2";1;"Helt uenig"
"hn_2";2;"Uenig"
"hn_2";3;"Enig"
"hn_2";4;"Helt enig"
"hn_3";1;"Helt uenig"
"hn_3";2;"Uenig"
"hn_3";3;"Enig"
"hn_3";4;"Helt enig"
"hn_4";1;"Helt uenig"
"hn_4";2;"Uenig"
"hn_4";3;"Enig"
"hn_4";4;"Helt enig"
"hn_5";1;"Helt uenig"
"hn_5";2;"Uenig"
"hn_5";3;"Enig"
"hn_5";4;"Helt enig"
"hn_6";1;"Helt uenig"
"hn_6";2;"Uenig"
"hn_6";3;"Enig"
"hn_6";4;"Helt enig"
"hn_7";1;"Helt uenig"
"hn_7";2;"Uenig"
"hn_7";3;"Enig"
"hn_7";4;"Helt enig"
"b_1";1;"Jente"
"b_1";2;"Gutt"
"b_1";3;"Annet/vil ikke svare"
"b_2";1;"Høyskole eller universitet i 5 år eller mer "
"b_2";2;"Høyskole eller universitet i 3-4 år "
"b_2";3;"Kort fagskole- eller høyere utdanning (etter videregående) på 1 til 2 år "
"b_2";4;"Videregående opplæring i skole eller fagopplæring "
"b_2";5;"Grunnskole "
"b_2";6;"Ikke relevant/ vet ikke "
"b_3";1;"Høyskole eller universitet i 5 år eller mer "
"b_3";2;"Høyskole eller universitet i 3-4 år "
"b_3";3;"Kort fagskole- eller høyere utdanning (etter videregående) på 1 til 2 år "
"b_3";4;"Videregående opplæring i skole eller fagopplæring "
"b_3";5;"Grunnskole "
"b_3";6;"Ikke relevant/ vet ikke "
"b_4";1;"Ja "
"b_4";2;"Nei"
"b_4";3;"Ikke relevant/ vet ikke"
"b_5";1;"Ja "
"b_5";2;"Nei"
"b_5";3;"Ikke relevant/ vet ikke"
"b_6_1";1;"Norge"
"b_6_1";2;"Sverige eller Danmark"
"b_6_1";3;"Annet europeisk land"
"b_6_1";4;"Asia"
"b_6_1";5;"Australia, New Zealand Canada eller USA"
"b_6_1";6;"Afrika"
"b_6_1";7;"Sør-Amerika"
"b_6_1";8;"Ikke relevant/ vet ikke"
